DiagnosisId,Description,SnomedIdentifier,OtherTerms
159,Chlamydia trachomatis (organism),63938009,
160,Genus Norovirus (organism),407359000,
161,Human immunodeficiency virus (organism),19030005,
162,Viral hepatitis type B (disorder),66071002,
163,Hepatitis B virus (organism),81665004,
164, Family Orthomyxoviridae (organism),55014007,
165,Community acquired pneumonia (disorder),385093006,
166,Ventilator-acquired pneumonia (disorder),429271009,
167,Human herpesvirus 3 (organism),19551004,
168,Hyperlipidemia (disorder),55822004,
169,Hypothyroidism (disorder),40930008,
170,Migraine (disorder),37796009,
171,Fibromyalgia (disorder),203082005,
172,Cerebrovascular accident (disorder),230690007,
173,Genus Ebolavirus (organism),424206003,
174,No abnormality seen,23875004,
1174,Cirrhosis of liver (disorder),19943007,
1175,Entire embryo (body structure),57991002,
1176,Malignant melanoma of eye (disorder),274087000,
1178,Malignant lymphoma (disorder),118600007,
1180,Orofacial cleft (disorder),449790007,
1181,Chronic multifocal osteomyelitis (disorder),240151005,
1182,Chronic kidney disease (disorder),709044004,
1183,Minimal change disease (disorder),44785005,
1184,Nephrotic syndrome (disorder),52254009,
1185,Maturity-onset diabetes of the young (disorder),609561005,
1187,Diabetes mellitus due to genetic defect in insulin action (disorder),609569007,
1188,Neonatal diabetes mellitus (disorder),49817004,
1189,Sjögren's syndrome (disorder),83901003,
1190,Malignant tumor of rectum (disorder),363351006,
1191,Obesity (disorder),414916001,
1192,Malignant tumour of spleen,363499005,
1193,Influenza virus (organism),725894000,
1194,Barrett's esophagus (disorder),302914006,
1195,Giant cell arteritis (disorder),414341000,
1197,Rhinitis (disorder),70076002,
1198,Chronic obstructive lung disease (disorder),13645005,
1199,Osteoradionecrosis (disorder),109333005,
1200,Plasmacytoma - category (morphologic abnormality),415113000,
1201,Cardiomyopathy (disorder),85898001,
1202,Heart disease (disorder),56265001,
1203,Malignant melanoma (disorder),372244006,
1204,Sarcoma of soft tissue (disorder),424952003,
1205,Amyotrophic lateral sclerosis (disorder),86044005,
1206,Monoarthritis (disorder),699462004,
1207,Undifferentiated inflammatory arthritis (disorder),417180005,
1208,Systemic sclerosis (disorder),89155008,
1209,Raynaud's disease (disorder),195295006,
1210,Deoxyribonucleic acid repair (finding),65113001,
1211,Meningitis (disorder),7180009,
1212,Progressive sclerosing poliodystrophy (disorder),20415001,
1213,Subarachnoid intracranial hemorrhage (disorder),21454007,
1214,Spongiform encephalopathy (disorder),230284004,
1215,Antiphospholipid syndrome (disorder),26843008,
1216,"Myelodysplastic/myeloproliferative neoplasm, unclassifiable (morphologic abnormality)",447240002,
1217,"Acute myeloid leukemia, disease (disorder) ",91861009,
1218,Mast cell disorder (disorder),397007003,
1219,Plasma cell myeloma/plasmacytoma (disorder),415110002,
1220,Amyloidosis (disorder),17602002,
1221,Monoclonal gammopathy (disorder),109983007,
1222,Non-Hodgkin's lymphoma (disorder),118601006,
1223,Necrotizing enterocolitis in fetus OR newborn (disorder),2707005,
1224,Sepsis (disorder),91302008,
1225,Cystic dilatation of common bile duct (disorder),440471007,
1226,Congenital biliary atresia (disorder),77480004,
