Id,Value,SortOrder,LowerBound,UpperBound
1,1 - 10,1,1,10
2,11 - 100,2,11,100
3,101 - 500,3,101,500
4,501 - 1000,4,501,1000
5,1001 - 3000,5,1001,3000
6,3001 - 5000,6,3001,5000
7,5001 - 10000,7,5001,10000
8,10001 - 50000,8,10001,50000
9,50001 - 100000,9,50001,100000
10,100001 - 500000,10,100001,500000
11,> 500000,11,500001,
